Ticket Number,Load Date,Lease Number,Lease Name,Operator,Purchaser,Actual Destination,Destination Code,Barrels Net,Priority Source,Priority 1 Station,Notes
8129135,3/25/2026 8:38,BECK0015,BECKWITH 1-5,EVOLUTION ENERGY LLC,"CP Energy, LLC",RUBY STATION (NAVIGATOR),RUBYSTAT RUBY STATION (NAVIGATOR),26.86,NOT ON LIST,,Lease not found on CP or VLO priority list
8125190,3/31/2026 11:04,KERN0001,"KERNS 1 - 22, 2-22, 3 - 22","RAYDON EXPLORATION, INC.","CP Energy, LLC",CP - PERRYTON 1,PERRYTON 1,185.76,CP,Cp - Hooker,Non-priority destination
8124749,3/31/2026 12:39,AGNE0004,AGNES 2H-12,PRESIDIO FINANCE LLC,"CP Energy, LLC",ARNETT STATION (NAVI) LANE 14,ARNE0014 ARNETT STATION (NAVI) LANE 14,185.33,NOT ON LIST,,Lease not found on CP or VLO priority list
8124109,3/31/2026 11:02,BRYA0001,BRYANS CORNER EAST SWD #1 (OK),OVERFLOW ENERGY (SWD),"CP Energy, LLC",CP - PERRYTON 2,PERRYTON 2,178.04,CP,Piper,Non-priority destination
8125967,3/31/2026 11:38,CATH0005,CATHERINE 4H-23,PRESIDIO FINANCE LLC,"CP Energy, LLC",ARNETT STATION (NAVI),ARNESTAT ARNETT STATION (NAVI),0,NOT ON LIST,,Lease not found on CP or VLO priority list
8125642,3/31/2026 9:07,KLEIN031,KLEIN 3 BO #1H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",CP TROJAN 2 - NGL,TROJAN2 CP TROJAN 2 - NGL,190.41,NOT ON LIST,,Lease not found on CP or VLO priority list
8122480,3/31/2026 8:37,SNEE0001,SNEED PLANT,HRR II ACQUISITIONCO LLC,"CP Energy, LLC",CP - CLAWSON 1,CLAWSON 1,189.32,SPLIT,Cp - Sunray-Mckee,Non-priority destination
8127881,3/31/2026 20:43,ROCK0223,ROCK 2-23,"RAYDON EXPLORATION, INC.","CP Energy, LLC",CP - HOOKER,HOOKER,198.25,NOT ON LIST,,Lease not found on CP or VLO priority list
8119608,3/31/2026 7:54,DENCK327,"DENCKER, GUSTAVE 3-27",BCE-MACH LLC,"CP Energy, LLC",CP - CLAWSON 3,CLAWSON 3,182.49,VLO,Cp - Sunray-Mckee,Non-priority destination
8126774,3/31/2026 7:29,140612,MORRISON 179 #2HM,MEWBOURNE OIL COMPANY,"CP Energy, LLC",CP - PERRYTON 4,PERRYTON 4,193.19,NOT ON LIST,,Lease not found on CP or VLO priority list
8124783,3/30/2026 12:05,REBE1423,REBECCA 14/23 AP 1H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,187.48,NOT ON LIST,,Lease not found on CP or VLO priority list
8124983,3/31/2026 7:16,JCH40001,JCH 4,"SEC PRODUCTION, INC.","CP Energy, LLC",CP - HOOKER,HOOKER,171.44,CP,Cp - Sunray-Mckee,Non-priority destination
8124908,3/31/2026 17:12,RICE0020,RICE NE UNIT,RESOURCE OIL AND GAS LLC,"CP Energy, LLC",CP - CLAWSON 3,CLAWSON 3,176.55,CP,Cp - Hooker,Non-priority destination
8125518,3/31/2026 6:09,KLEIN031,KLEIN 3 BO #1H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",TROJAN STATION,TROJSTAT TROJAN STATION,190.51,NOT ON LIST,,Lease not found on CP or VLO priority list
8124633,3/31/2026 18:28,513730,MILLER FIELDER CTB,UNBRIDLED RESOURCES LLC,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,184.12,NOT ON LIST,,Lease not found on CP or VLO priority list
8126804,3/31/2026 11:40,WATER718,WATERLOO 7 18 15N-23W 1H,BE ANADARKO II LLC,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,191.11,NOT ON LIST,,Lease not found on CP or VLO priority list
8126035,3/31/2026 8:56,WATER718,WATERLOO 7 18 15N-23W 1H,BE ANADARKO II LLC,"CP Energy, LLC",ARNETT STATION LANE 5,ARNE0005 ARNETT STATION LANE 5,191.32,NOT ON LIST,,Lease not found on CP or VLO priority list
8126805,3/31/2026 14:21,WATER718,WATERLOO 7 18 15N-23W 1H,BE ANADARKO II LLC,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,191.3,NOT ON LIST,,Lease not found on CP or VLO priority list
8124594,3/31/2026 9:19,SLC04H9,SLC 4H-9,PRESIDIO FINANCE LLC,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,190.29,NOT ON LIST,,Lease not found on CP or VLO priority list
8125958,3/31/2026 15:35,MON18192,MONTGOMERY 18/19 DM 2H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,183.32,NOT ON LIST,,Lease not found on CP or VLO priority list
8124933,3/31/2026 5:28,JIMM1121,JIMMY LYN 11/2 PA 1H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",ARNETT STATIONS LANES 1-4,ARNE0104 ARNETT STATIONS LANES 1-4,190.36,NOT ON LIST,,Lease not found on CP or VLO priority list
8125129,3/31/2026 10:30,JIMM1121,JIMMY LYN 11/2 PA 1H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",ARNETT STATION LANE 6,ARNE0006 ARNETT STATION LANE 6,191.2,NOT ON LIST,,Lease not found on CP or VLO priority list
8125130,3/31/2026 13:37,DUGO1236,DUGOUT CREEK 12/36 MJ FEE 2H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",ARNETT STATIONS LANES 1-4,ARNE0104 ARNETT STATIONS LANES 1-4,191.36,NOT ON LIST,,Lease not found on CP or VLO priority list
8124512,3/31/2026 8:46,DUGO1236,DUGOUT CREEK 12/36 MJ FEE 2H,MEWBOURNE OIL COMPANY,"CP Energy, LLC",ARNETT LANES 1-4,ARNE0104 ARNETT LANES 1-4,183.62,NOT ON LIST,,Lease not found on CP or VLO priority list
